,,,Fp1,AFp1,AFz,AFp2,Fp2,,,
,AF7,AFF5h,AF3,AFF1h,,AFF2h,AF4,AFF6h,AF8,
F9,F7,F5,F3,F1 ,Fz,F2,F4,F6,F8,F10
FFT9h,FFT7h,FFC5h,FFC3h,FFC1h ,,FFC2h ,FFC4h,FFC6h,FFT8h,FFT10h
FT9,FT7,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FT8,FT10
FTT9h,FTT7h,FCC5h,FCC3h,FCC1h,,FCC2h,FCC4h,FCC6h,FTT8h,FTT10h
,T7,C5,C3,C1,Cz,C2,C4,C6,T8,
,TTP7h,CCP5h,CCP3h,CCP1h,,CCP2h,CCP4h,CCP6h,TTP8h,
TP9,TP7,CP5,CP3,CP1,CPz,CP2,CP4,CP6,TP8,TP10
TPP9h,TPP7h,CPP5h,CPP3h,CPP1h ,,CPP2h ,CPP4h,CPP6h,TPP8h,TPP10h
P9,P7,P5,P3,P1,Pz,P2,P4,P6,P8,P10
PPO9h,PO7,PPO5h,PO3,PPO1h ,POz,PPO2h ,PO4,PPO6h,PO8,PPO10h
PO9,POO9h,,O1,POO1,,POO2,O2,,POO10h,PO10
,,,O9,OI1h,Oz,OI2h,O10,,,